RabA,RabB,RabC,RabD,RabE,area,memERGIC,memGolgiMedial,memL,memLS,memS,memTGN,memTub,membraneMarker,proton,solL,solS,solubleMarker,volume,
80330.0,0.0,0.0,0.0,0.0,80330.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962570.0,
223672.44,184725.65,0.0,0.0,0.0,408398.09,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,4.59,196257.0,196257.0,1.0,6402781.89,
19473.4,184725.65,0.0,0.0,0.0,204199.05,699.37,4016.5,8033.0,8033.0,4016.5,4016.5,0.0,1.0,2.3,196257.0,98128.5,1.0,3201390.94,
19473.4,184725.65,0.0,0.0,0.0,204199.05,699.37,4016.5,8033.0,8033.0,4016.5,4016.5,0.0,1.0,2.3,196257.0,98128.5,1.0,3201390.94,
19473.4,184725.65,0.0,0.0,0.0,204199.05,699.37,4016.5,8033.0,8033.0,4016.5,4016.5,0.0,1.0,2.3,196257.0,98128.5,1.0,3201390.94,
19473.4,184725.65,0.0,0.0,0.0,204199.05,699.37,4016.5,8033.0,8033.0,4016.5,4016.5,0.0,1.0,2.3,196257.0,98128.5,1.0,3201390.94,
19473.4,184725.65,0.0,0.0,0.0,204199.05,699.37,4016.5,8033.0,8033.0,4016.5,4016.5,0.0,1.0,2.3,196257.0,98128.5,1.0,3201390.94,
19473.4,184725.65,0.0,0.0,0.0,204199.05,699.37,4016.5,8033.0,8033.0,4016.5,4016.5,0.0,1.0,2.3,196257.0,98128.5,1.0,3201390.94,
19473.4,184725.65,0.0,0.0,0.0,204199.05,699.37,4016.5,8033.0,8033.0,4016.5,4016.5,0.0,1.0,2.3,196257.0,98128.5,1.0,3201390.94,
19473.4,184725.65,0.0,0.0,0.0,204199.05,699.37,4016.5,8033.0,8033.0,4016.5,4016.5,0.0,1.0,2.3,196257.0,98128.5,1.0,3201390.94,
19473.4,184725.65,0.0,0.0,0.0,204199.05,699.37,4016.5,8033.0,8033.0,4016.5,4016.5,0.0,1.0,2.3,196257.0,98128.5,1.0,3201390.94,
19473.4,184725.65,0.0,0.0,0.0,204199.05,699.37,4016.5,8033.0,8033.0,4016.5,4016.5,0.0,1.0,2.3,196257.0,98128.5,1.0,3201390.94,
19473.4,184725.65,0.0,0.0,0.0,204199.05,699.37,4016.5,8033.0,8033.0,4016.5,4016.5,0.0,1.0,2.3,196257.0,98128.5,1.0,3201390.94,
0.0,944494.36,369451.3,92362.82,0.0,1406308.48,0.0,3945.83,8033.0,8033.0,3009.16,3009.16,0.0,1.0,19.8,196257.0,76314.89,1.0,1.906660187E7,
0.0,836737.73,277088.47,46181.41,0.0,1160007.62,0.0,2959.37,8033.0,8033.0,2482.14,2482.14,0.0,1.0,17.56,196257.0,67688.88,1.0,1.691146931E7,
0.0,759768.71,184725.65,15393.8,0.0,959888.17,0.0,1972.91,8033.0,8033.0,2053.93,2053.93,0.0,1.0,15.74,196257.0,60680.24,1.0,1.51604241E7,
0.0,698193.5,123150.43,15393.8,0.0,836737.73,0.0,1315.28,8033.0,8033.0,1790.42,1790.42,0.0,1.0,14.62,196257.0,56367.24,1.0,1.408285782E7,
0.0,636618.28,123150.43,15393.8,0.0,775162.52,0.0,1315.28,8033.0,8033.0,1658.66,1658.66,0.0,1.0,14.06,196257.0,54210.74,1.0,1.354407468E7,
0.0,498074.05,92362.82,15393.8,0.0,605830.67,0.0,986.46,8033.0,8033.0,1296.33,1296.33,0.0,1.0,12.53,196257.0,48280.35,1.0,1.206242105E7,
0.0,775162.52,169331.84,15393.8,0.0,959888.17,0.0,1107.78,8033.0,8033.0,1765.99,1765.99,0.0,1.0,17.52,196257.0,58354.64,1.0,1.610369922E7,
0.0,713587.3,92362.82,15393.8,0.0,821343.93,0.0,604.24,8033.0,8033.0,1511.1,1511.1,0.0,1.0,16.2,196257.0,53961.8,1.0,1.489143715E7,
0.0,698193.5,76969.02,15393.8,0.0,790556.32,0.0,503.54,8033.0,8033.0,1454.46,1454.46,0.0,1.0,15.91,196257.0,52985.61,1.0,1.462204558E7,
0.0,667405.89,15393.8,15393.8,0.0,698193.5,0.0,100.71,8033.0,8033.0,1284.53,1284.53,0.0,1.0,15.03,196257.0,50057.04,1.0,1.381387087E7,
0.0,559649.26,15393.8,15393.8,0.0,590436.87,0.0,100.71,8033.0,8033.0,1086.28,1086.28,0.0,1.0,14.0,196257.0,46640.38,1.0,1.287100038E7,
0.0,544255.46,15393.8,15393.8,0.0,575043.07,0.0,100.71,8033.0,8033.0,1057.96,1057.96,0.0,1.0,13.86,196257.0,46152.29,1.0,1.273630459E7,
0.0,513467.85,15393.8,15393.8,0.0,544255.46,0.0,100.71,8033.0,8033.0,1001.31,1001.31,0.0,1.0,13.56,196257.0,45176.1,1.0,1.246691302E7,
0.0,467286.44,15393.8,15393.8,0.0,498074.05,0.0,100.71,8033.0,8033.0,916.35,916.35,0.0,1.0,13.12,196257.0,43711.81,1.0,1.206282567E7,
0.0,467286.44,15393.8,15393.8,0.0,498074.05,0.0,100.71,8033.0,8033.0,916.35,916.35,0.0,1.0,13.12,196257.0,43711.81,1.0,1.206282567E7,
0.0,467286.44,15393.8,15393.8,0.0,498074.05,0.0,100.71,8033.0,8033.0,916.35,916.35,0.0,1.0,13.12,196257.0,43711.81,1.0,1.206282567E7,
0.0,467286.44,15393.8,15393.8,0.0,498074.05,0.0,100.71,8033.0,8033.0,916.35,916.35,0.0,1.0,13.12,196257.0,43711.81,1.0,1.206282567E7,
0.0,467286.44,15393.8,15393.8,0.0,498074.05,0.0,100.71,8033.0,8033.0,916.35,916.35,0.0,1.0,13.12,196257.0,43711.81,1.0,1.206282567E7,
0.0,451892.63,15393.8,15393.8,0.0,482680.24,0.0,100.71,8033.0,8033.0,888.03,888.03,0.0,1.0,12.98,196257.0,43223.72,1.0,1.192812988E7,
0.0,787166.14,15393.8,15393.8,0.0,817953.75,325.51,68.28,8033.0,8033.0,1131.7,1131.7,0.0,1.0,17.0,196257.0,50620.51,1.0,1.822187426E7,
0.0,740984.73,15393.8,15393.8,0.0,771772.34,307.13,68.28,8033.0,8033.0,1067.81,1067.81,0.0,1.0,16.62,196257.0,49497.95,1.0,1.781778691E7,
0.0,664015.71,15393.8,15393.8,0.0,694803.32,276.5,68.28,8033.0,8033.0,961.31,961.31,0.0,1.0,15.99,196257.0,47627.03,1.0,1.714430798E7,
0.0,587046.69,15393.8,15393.8,0.0,617834.3,245.87,68.28,8033.0,8033.0,854.82,854.82,0.0,1.0,15.36,196257.0,45756.1,1.0,1.647082906E7,
0.0,540865.28,15393.8,15393.8,0.0,571652.89,227.49,68.28,8033.0,8033.0,790.93,790.93,0.0,1.0,14.99,196257.0,44633.54,1.0,1.60667417E7,
0.0,525471.47,15393.8,15393.8,0.0,556259.08,221.36,68.28,8033.0,8033.0,769.63,769.63,0.0,1.0,14.86,196257.0,44259.35,1.0,1.593204592E7,
0.0,525471.47,15393.8,15393.8,0.0,556259.08,221.36,68.28,8033.0,8033.0,769.63,769.63,0.0,1.0,14.86,196257.0,44259.35,1.0,1.593204592E7,
0.0,494683.87,15393.8,15393.8,0.0,525471.47,209.11,68.28,8033.0,8033.0,727.03,727.03,0.0,1.0,14.61,196257.0,43510.98,1.0,1.566265435E7,
0.0,479290.06,15393.8,15393.8,0.0,510077.67,202.99,68.28,8033.0,8033.0,705.73,705.73,0.0,1.0,14.48,196257.0,43136.79,1.0,1.552795856E7,
